,year,beak_depth,beak_length
0,1975,8.4,13.9
1,1975,8.8,14.0
2,1975,8.4,12.9
3,1975,8.0,13.5
4,1975,7.9,12.9
5,1975,8.9,14.6
6,1975,8.6,13.0
7,1975,8.5,14.2
8,1975,8.9,14.0
9,1975,9.1,14.2
10,1975,8.6,13.1
11,1975,9.8,15.1
12,1975,8.2,13.5
13,1975,9.0,14.4
14,1975,9.7,14.9
15,1975,8.6,12.9
16,1975,8.2,13.0
17,1975,9.0,14.9
18,1975,8.4,14.0
19,1975,8.6,13.8
20,1975,8.9,13.0
21,1975,9.1,14.75
22,1975,8.3,13.7
23,1975,8.7,13.8
24,1975,9.6,14.0
25,1975,8.5,14.6
26,1975,9.1,15.2
27,1975,9.0,13.5
28,1975,9.2,15.1
29,1975,9.9,15.0
30,1975,8.6,12.8
31,1975,9.2,14.9
32,1975,8.4,15.3
33,1975,8.9,13.4
34,1975,8.5,14.2
35,1975,10.4,15.1
36,1975,9.6,15.1
37,1975,9.1,14.0
38,1975,9.3,13.6
39,1975,9.3,14.0
40,1975,8.8,14.0
41,1975,8.3,13.9
42,1975,8.8,14.0
43,1975,9.1,14.9
44,1975,10.1,15.6
45,1975,8.9,13.8
46,1975,9.2,14.4
47,1975,8.5,12.8
48,1975,10.2,14.2
49,1975,10.1,13.4
50,1975,9.2,14.0
51,1975,9.7,14.8
52,1975,9.1,14.2
53,1975,8.5,13.5
54,1975,8.2,13.4
55,1975,9.0,14.6
56,1975,9.3,13.5
57,1975,8.0,13.7
58,1975,9.1,13.9
59,1975,8.1,13.1
60,1975,8.3,13.4
61,1975,8.7,13.8
62,1975,8.8,13.6
63,1975,8.6,14.0
64,1975,8.7,13.5
65,1975,8.0,12.8
66,1975,8.8,14.0
67,1975,9.0,13.4
68,1975,9.1,14.9
69,1975,9.74,15.54
70,1975,9.1,14.63
71,1975,9.8,14.73
72,1975,10.4,15.73
73,1975,8.3,14.83
74,1975,9.44,15.94
75,1975,9.04,15.14
76,1975,9.0,14.23
77,1975,9.05,14.15
78,1975,9.65,14.35
79,1975,9.45,14.95
80,1975,8.65,13.95
81,1975,9.45,14.05
82,1975,9.45,14.55
83,1975,9.05,14.05
84,1975,8.75,14.45
85,1975,9.45,15.05
86,1975,8.35,13.25
87,2012,9.4,14.3
88,2012,8.9,12.5
89,2012,9.5,13.7
90,2012,11.0,13.8
91,2012,8.7,12.0
92,2012,8.4,13.0
93,2012,9.1,13.0
94,2012,8.7,13.6
95,2012,10.2,12.8
96,2012,9.6,13.6
97,2012,8.85,12.95
98,2012,8.8,13.1
99,2012,9.5,13.4
100,2012,9.2,13.9
101,2012,9.0,12.3
102,2012,9.8,14.0
103,2012,9.3,12.5
104,2012,9.0,12.3
105,2012,10.2,13.9
106,2012,7.7,13.1
107,2012,9.0,12.5
108,2012,9.5,13.9
109,2012,9.4,13.7
110,2012,8.0,12.0
111,2012,8.9,14.4
112,2012,9.4,13.5
113,2012,9.5,13.8
114,2012,8.0,13.0
115,2012,10.0,14.9
116,2012,8.95,12.5
117,2012,8.2,12.3
118,2012,8.8,12.8
119,2012,9.2,13.4
120,2012,9.4,13.8
121,2012,9.5,13.5
122,2012,8.1,13.5
123,2012,9.5,13.4
124,2012,8.4,12.3
125,2012,9.3,14.35
126,2012,9.3,13.2
127,2012,9.6,13.8
128,2012,9.2,14.6
129,2012,10.0,14.3
130,2012,8.9,13.8
131,2012,10.5,13.6
132,2012,8.9,12.9
133,2012,8.6,13.0
134,2012,8.8,13.5
135,2012,9.15,13.2
136,2012,9.5,13.7
137,2012,9.1,13.1
138,2012,10.2,13.2
139,2012,8.4,12.6
140,2012,10.0,13.0
141,2012,10.2,13.9
142,2012,9.3,13.2
143,2012,10.8,15.0
144,2012,8.3,13.37
145,2012,7.8,11.4
146,2012,9.8,13.8
147,2012,7.9,13.0
148,2012,8.9,13.0
149,2012,7.7,13.1
150,2012,8.9,12.8
151,2012,9.4,13.3
152,2012,9.4,13.5
153,2012,8.5,12.4
154,2012,8.5,13.1
155,2012,9.6,14.0
156,2012,10.2,13.5
157,2012,8.8,11.8
158,2012,9.5,13.7
159,2012,9.3,13.2
160,2012,9.0,12.2
161,2012,9.2,13.0
162,2012,8.7,13.1
163,2012,9.0,14.7
164,2012,9.1,13.7
165,2012,8.7,13.5
166,2012,9.4,13.3
167,2012,9.8,14.1
168,2012,8.6,12.5
169,2012,10.6,13.7
170,2012,9.0,14.6
171,2012,9.5,14.1
172,2012,8.1,12.9
173,2012,9.3,13.9
174,2012,9.6,13.4
175,2012,8.5,13.0
176,2012,8.2,12.7
177,2012,8.0,12.1
178,2012,9.5,14.0
179,2012,9.7,14.9
180,2012,9.9,13.9
181,2012,9.1,12.9
182,2012,9.5,14.6
183,2012,9.8,14.0
184,2012,8.4,13.0
185,2012,8.3,12.7
186,2012,9.6,14.0
187,2012,9.4,14.1
188,2012,10.0,14.1
189,2012,8.9,13.0
190,2012,9.1,13.5
191,2012,9.8,13.4
192,2012,9.3,13.9
193,2012,9.9,13.1
194,2012,8.9,12.9
195,2012,8.5,14.0
196,2012,10.6,14.0
197,2012,9.3,14.1
198,2012,8.9,14.7
199,2012,8.9,13.4
200,2012,9.7,13.8
201,2012,9.8,13.4
202,2012,10.5,13.8
203,2012,8.4,12.4
204,2012,10.0,14.1
205,2012,9.0,12.9
206,2012,8.7,13.9
207,2012,8.8,14.3
208,2012,8.4,13.2
209,2012,9.3,14.2
210,2012,9.8,13.0
211,2012,8.9,14.6
212,2012,9.8,13.1
213,2012,9.1,15.2
